#sGroupID	sQuestion	sBtnName1	iCorrectButton	sBtnName2	iCorrectButton	sBtnName3	iCorrectButton	sBtnName4	iCorrectButton
1200001	传说中我国的八卦是一位上古贤明的人士作所，请问是何人？	伏羲氏	1	轩辕氏	0	神农氏	0	女娲	0
1200001	传说中我国的中学医药基础，是一位上古的人士尝百草而奠定基础，请问是何人？	神农氏	1	伏羲氏	0	轩辕氏	0	有巢氏	0
1200001	传说中轩辕氏跟蚩尤两位部落领主，曾打了一场战争，最后轩辕氏获胜而成为共主开创中国历史，请问这场战役叫做？	涿鹿之战	1	官渡之战	0	长平之战	0	肥水之战	0
1200001	我国史记一书中将黄帝视为中国历史的源起，请问黄帝是指何人？	轩辕氏	1	伏羲氏	0	神农氏	0	有巢氏	0
1200001	传说中大禹治水，三过家门而不入，最后终于治理成功，请问大禹治理的是哪条河水？	黄河	1	长江	0	淮河	0	珠江	0
1200001	我国传说中，在大禹治水之前，帝尧还曾派了另一个人治水，但最终失败，请问是何人？	鲧	1	舜	0	启	0	颛顼	0
1200001	「信史」是指一个国家的历史，有当时可靠的文字记载而称做为「信史」，请问我国信史起于何时？	商朝	1	夏朝	0	黄帝	0	周朝	0
1200001	根据史记纪载，我国第一个世袭王朝是夏朝，请问夏朝是谁所创立？	禹启	1	黄帝	0	尧舜	0	姬发	0
1200001	我国在河南省与山西一带，曾发现了二里头文化，请问二里头文化一般被认为是哪个朝代的遗址？	夏朝	1	商朝	0	周朝	0	黄帝	0
1200001	《史记》是我国第一部纪传体的通史，请问我国《史记》的作者是何人？	司马迁	1	司马懿	0	班固	0	班超	0
1200001	我国《史记》的作者，早年曾因触怒汉武帝而遭阉割之刑，请问他是替谁辩护而被处刑？	李陵	1	李广	0	班超	0	霍去病	0
1200001	商朝从立国之后，屡屡迁都，一直到了盘庚定都之后而趋于稳定，请问盘庚定都于何处？	殷	1	祁	0	帝邱	0	毫	0
1200001	商朝又经常被称之为「殷商」请问，为何商朝有此别称？	盘庚迁都于殷	1	成汤本名为殷	0	成汤灭夏于殷	0	成汤是殷族人	0
1200001	根据《史记》的纪载，我国在周朝时，武王曾派人分封到朝鲜开发，后人视为是朝鲜的开国之始，请问此人是谁？	箕子	1	周公	0	比干	0	微子	0
1200001	我们经常在口语中以「梦周公」来形容打盹小睡一下，请问这里指的周公是谁？	周公旦	1	周武王	0	周文王	0	周幽王	0
1200001	我国著名的《孙子兵法》一书，是一部军事理论的书籍，请问该书的作者是谁？	孙武	1	孙权	0	孙膑	0	孙策	0
1200001	史书记载因纣王暴虐无道，周武王最后于何战役打倒纣王而成立周朝？	牧野之战	1	长平之战	0	涿鹿之战	0	鸣条之战	0
1200001	「酒池肉林」一词经常被拿来形容生活奢侈作乐，请问原本酒池肉林是指哪位君王的作为？	商纣王	1	夏桀	0	周幽王	0	秦始皇	0
1200001	我国西周因为周幽王宠爱一名女子，更为其做出「烽火戏诸侯」的举动，最终导致西周灭亡，请问这名女子是谁？	褒姒	1	妲己	0	西施	0	貂蝉	0
